time :09/04/17 12:41:00  B100 is committed to G99
time :09/04/17 12:45:59  B29 is committed to G99
time :09/04/17 12:47:32  B2 is committed to G0
time :09/04/17 12:47:32  B3 is committed to G1
time :09/04/17 12:47:32  B14 is committed to G2
time :09/04/17 12:47:32  B4 is committed to G3
time :09/04/17 12:47:32  B1 is committed to G4
time :09/04/17 12:47:32  B9 is committed to G5
time :09/04/17 12:47:32  B7 is committed to G6
time :09/04/17 12:47:32  B18 is committed to G7
time :09/04/17 12:47:32  B5 is committed to G8
time :09/04/17 12:47:32  B19 is committed to G9
time :09/04/17 12:47:32  B25 is committed to G10
time :09/04/17 12:47:32  B30 is committed to G11
time :09/04/17 12:47:32  B11 is committed to G12
time :09/04/17 12:47:32  B40 is committed to G13
time :09/04/17 12:47:32  B32 is committed to G14
time :09/04/17 12:47:32  B6 is committed to G15
time :09/04/17 12:47:32  B36 is committed to G16
time :09/04/17 12:47:32  B13 is committed to G17
time :09/04/17 12:47:32  B15 is committed to G18
time :09/04/17 12:47:32  B54 is committed to G19
time :09/04/17 12:47:32  B37 is committed to G20
time :09/04/17 12:47:32  B16 is committed to G21
time :09/04/17 12:47:32  B20 is committed to G22
time :09/04/17 12:47:32  B21 is committed to G23
time :09/04/17 12:47:32  B24 is committed to G24
time :09/04/17 12:47:32  B43 is committed to G25
time :09/04/17 12:47:32  B29 is committed to G26
time :09/04/17 12:47:32  B8 is committed to G27
time :09/04/17 12:47:32  B10 is committed to G28
time :09/04/17 12:47:32  B50 is committed to G29
time :09/04/17 12:47:32  B31 is committed to G30
time :09/04/17 12:47:32  B35 is committed to G31
time :09/04/17 12:47:32  B17 is committed to G32
time :09/04/17 12:47:32  B38 is committed to G33
time :09/04/17 12:47:32  B23 is committed to G34
time :09/04/17 12:47:32  B26 is committed to G35
time :09/04/17 12:47:32  B56 is committed to G36
time :09/04/17 12:47:32  B27 is committed to G37
time :09/04/17 12:47:32  B39 is committed to G38
time :09/04/17 12:47:32  B41 is committed to G39
time :09/04/17 12:47:32  B46 is committed to G40
time :09/04/17 12:47:32  B68 is committed to G42
time :09/04/17 12:47:32  B42 is committed to G43
time :09/04/17 12:47:32  B12 is committed to G44
time :09/04/17 12:47:32  B47 is committed to G45
time :09/04/17 12:47:32  B44 is committed to G46
time :09/04/17 12:47:32  B52 is committed to G47
time :09/04/17 12:47:32  B28 is committed to G48
time :09/04/17 12:47:32  B48 is committed to G49
time :09/04/17 12:47:32  B22 is committed to G50
time :09/04/17 12:47:32  B61 is committed to G51
time :09/04/17 12:47:32  B60 is committed to G52
time :09/04/17 12:47:32  B49 is committed to G53
time :09/04/17 12:47:32  B33 is committed to G54
time :09/04/17 12:47:32  B71 is committed to G55
time :09/04/17 12:47:32  B80 is committed to G56
time :09/04/17 12:47:32  B51 is committed to G57
time :09/04/17 12:47:32  B58 is committed to G59
time :09/04/17 12:47:32  B59 is committed to G60
time :09/04/17 12:47:32  B55 is committed to G61
time :09/04/17 12:47:32  B34 is committed to G62
time :09/04/17 12:47:32  B74 is committed to G63
time :09/04/17 12:47:32  B81 is committed to G64
time :09/04/17 12:47:32  B57 is committed to G66
time :09/04/17 12:47:32  B76 is committed to G67
time :09/04/17 12:47:32  B63 is committed to G69
time :09/04/17 12:47:32  B45 is committed to G70
time :09/04/17 12:47:32  B53 is committed to G71
time :09/04/17 12:47:32  B85 is committed to G72
time :09/04/17 12:47:32  B88 is committed to G73
time :09/04/17 12:47:32  B69 is committed to G74
time :09/04/17 12:47:32  B62 is committed to G75
time :09/04/17 12:47:32  B64 is committed to G76
time :09/04/17 12:47:32  B65 is committed to G77
time :09/04/17 12:47:32  B93 is committed to G78
time :09/04/17 12:47:32  B95 is committed to G79
time :09/04/17 12:47:32  B99 is committed to G80
time :09/04/17 12:47:32  B72 is committed to G83
time :09/04/17 12:47:32  B75 is committed to G84
time :09/04/17 12:47:32  B83 is committed to G87
time :09/04/17 12:47:32  B78 is committed to G89
time :09/04/17 12:47:32  B79 is committed to G90
time :09/04/17 12:47:32  B66 is committed to G92
time :09/04/17 12:47:32  B87 is committed to G94
time :09/04/17 12:47:32  B90 is committed to G96
time :09/04/17 12:47:32  B86 is committed to G99
time :09/04/17 12:49:46  B2 is committed to G0
time :09/04/17 12:49:46  B3 is committed to G1
time :09/04/17 12:49:46  B14 is committed to G2
time :09/04/17 12:49:46  B4 is committed to G3
time :09/04/17 12:49:46  B1 is committed to G4
time :09/04/17 12:49:46  B9 is committed to G5
time :09/04/17 12:49:46  B7 is committed to G6
time :09/04/17 12:49:46  B18 is committed to G7
time :09/04/17 12:49:46  B5 is committed to G8
time :09/04/17 12:49:46  B19 is committed to G9
time :09/04/17 12:49:46  B25 is committed to G10
time :09/04/17 12:49:46  B30 is committed to G11
time :09/04/17 12:49:46  B11 is committed to G12
time :09/04/17 12:49:46  B40 is committed to G13
time :09/04/17 12:49:46  B32 is committed to G14
time :09/04/17 12:49:46  B6 is committed to G15
time :09/04/17 12:49:46  B36 is committed to G16
time :09/04/17 12:49:46  B13 is committed to G17
time :09/04/17 12:49:46  B15 is committed to G18
time :09/04/17 12:49:46  B54 is committed to G19
time :09/04/17 12:49:46  B37 is committed to G20
time :09/04/17 12:49:46  B16 is committed to G21
time :09/04/17 12:49:46  B20 is committed to G22
time :09/04/17 12:49:46  B21 is committed to G23
time :09/04/17 12:49:46  B24 is committed to G24
time :09/04/17 12:49:46  B43 is committed to G25
time :09/04/17 12:49:46  B29 is committed to G26
time :09/04/17 12:49:46  B8 is committed to G27
time :09/04/17 12:49:46  B10 is committed to G28
time :09/04/17 12:49:46  B50 is committed to G29
time :09/04/17 12:49:46  B31 is committed to G30
time :09/04/17 12:49:46  B35 is committed to G31
time :09/04/17 12:49:46  B17 is committed to G32
time :09/04/17 12:49:46  B38 is committed to G33
time :09/04/17 12:49:46  B23 is committed to G34
time :09/04/17 12:49:46  B26 is committed to G35
time :09/04/17 12:49:46  B56 is committed to G36
time :09/04/17 12:49:46  B27 is committed to G37
time :09/04/17 12:49:46  B39 is committed to G38
time :09/04/17 12:49:46  B41 is committed to G39
time :09/04/17 12:49:46  B46 is committed to G40
time :09/04/17 12:49:46  B68 is committed to G42
time :09/04/17 12:49:46  B42 is committed to G43
time :09/04/17 12:49:46  B12 is committed to G44
time :09/04/17 12:49:46  B47 is committed to G45
time :09/04/17 12:49:46  B44 is committed to G46
time :09/04/17 12:49:46  B52 is committed to G47
time :09/04/17 12:49:46  B28 is committed to G48
time :09/04/17 12:49:46  B48 is committed to G49
time :09/04/17 12:49:46  B22 is committed to G50
time :09/04/17 12:49:46  B61 is committed to G51
time :09/04/17 12:49:46  B60 is committed to G52
time :09/04/17 12:49:46  B49 is committed to G53
time :09/04/17 12:49:46  B33 is committed to G54
time :09/04/17 12:49:46  B71 is committed to G55
time :09/04/17 12:49:46  B80 is committed to G56
time :09/04/17 12:49:46  B51 is committed to G57
time :09/04/17 12:49:46  B58 is committed to G59
time :09/04/17 12:49:46  B59 is committed to G60
time :09/04/17 12:49:46  B55 is committed to G61
time :09/04/17 12:49:46  B34 is committed to G62
time :09/04/17 12:49:46  B74 is committed to G63
time :09/04/17 12:49:46  B81 is committed to G64
time :09/04/17 12:49:46  B57 is committed to G66
time :09/04/17 12:49:46  B76 is committed to G67
time :09/04/17 12:49:46  B63 is committed to G69
time :09/04/17 12:49:46  B45 is committed to G70
time :09/04/17 12:49:46  B53 is committed to G71
time :09/04/17 12:49:46  B85 is committed to G72
time :09/04/17 12:49:46  B88 is committed to G73
time :09/04/17 12:49:46  B69 is committed to G74
time :09/04/17 12:49:46  B62 is committed to G75
time :09/04/17 12:49:46  B64 is committed to G76
time :09/04/17 12:49:46  B65 is committed to G77
time :09/04/17 12:49:46  B93 is committed to G78
time :09/04/17 12:49:46  B95 is committed to G79
time :09/04/17 12:49:46  B99 is committed to G80
time :09/04/17 12:49:46  B72 is committed to G83
time :09/04/17 12:49:46  B75 is committed to G84
time :09/04/17 12:49:46  B83 is committed to G87
time :09/04/17 12:49:46  B78 is committed to G89
time :09/04/17 12:49:46  B79 is committed to G90
time :09/04/17 12:49:46  B66 is committed to G92
time :09/04/17 12:49:46  B87 is committed to G94
time :09/04/17 12:49:46  B90 is committed to G96
time :09/04/17 12:49:46  B86 is committed to G99
time :09/04/17 12:59:04  B2 is committed to G0
time :09/04/17 12:59:04  B3 is committed to G1
time :09/04/17 12:59:04  B14 is committed to G2
time :09/04/17 12:59:04  B4 is committed to G3
time :09/04/17 12:59:04  B1 is committed to G4
time :09/04/17 12:59:04  B9 is committed to G5
time :09/04/17 12:59:04  B7 is committed to G6
time :09/04/17 12:59:04  B18 is committed to G7
time :09/04/17 12:59:04  B5 is committed to G8
time :09/04/17 12:59:04  B19 is committed to G9
time :09/04/17 12:59:04  B25 is committed to G10
time :09/04/17 12:59:04  B30 is committed to G11
time :09/04/17 12:59:04  B11 is committed to G12
time :09/04/17 12:59:04  B40 is committed to G13
time :09/04/17 12:59:04  B32 is committed to G14
time :09/04/17 12:59:04  B6 is committed to G15
time :09/04/17 12:59:04  B36 is committed to G16
time :09/04/17 12:59:04  B13 is committed to G17
time :09/04/17 12:59:04  B15 is committed to G18
time :09/04/17 12:59:04  B54 is committed to G19
time :09/04/17 12:59:04  B37 is committed to G20
time :09/04/17 12:59:04  B16 is committed to G21
time :09/04/17 12:59:04  B20 is committed to G22
time :09/04/17 12:59:04  B21 is committed to G23
time :09/04/17 12:59:04  B24 is committed to G24
time :09/04/17 12:59:04  B43 is committed to G25
time :09/04/17 12:59:04  B29 is committed to G26
time :09/04/17 12:59:04  B8 is committed to G27
time :09/04/17 12:59:04  B10 is committed to G28
time :09/04/17 12:59:04  B50 is committed to G29
time :09/04/17 12:59:04  B31 is committed to G30
time :09/04/17 12:59:04  B35 is committed to G31
time :09/04/17 12:59:04  B17 is committed to G32
time :09/04/17 12:59:04  B38 is committed to G33
time :09/04/17 12:59:04  B23 is committed to G34
time :09/04/17 12:59:04  B26 is committed to G35
time :09/04/17 12:59:04  B56 is committed to G36
time :09/04/17 12:59:04  B27 is committed to G37
time :09/04/17 12:59:04  B39 is committed to G38
time :09/04/17 12:59:04  B41 is committed to G39
time :09/04/17 12:59:04  B46 is committed to G40
time :09/04/17 12:59:04  B68 is committed to G42
time :09/04/17 12:59:04  B42 is committed to G43
time :09/04/17 12:59:04  B12 is committed to G44
time :09/04/17 12:59:04  B47 is committed to G45
time :09/04/17 12:59:04  B44 is committed to G46
time :09/04/17 12:59:04  B52 is committed to G47
time :09/04/17 12:59:04  B28 is committed to G48
time :09/04/17 12:59:04  B48 is committed to G49
time :09/04/17 12:59:04  B22 is committed to G50
time :09/04/17 12:59:04  B61 is committed to G51
time :09/04/17 12:59:04  B60 is committed to G52
time :09/04/17 12:59:04  B49 is committed to G53
time :09/04/17 12:59:04  B33 is committed to G54
time :09/04/17 12:59:04  B71 is committed to G55
time :09/04/17 12:59:04  B80 is committed to G56
time :09/04/17 12:59:04  B51 is committed to G57
time :09/04/17 12:59:04  B58 is committed to G59
time :09/04/17 12:59:04  B59 is committed to G60
time :09/04/17 12:59:04  B55 is committed to G61
time :09/04/17 12:59:04  B34 is committed to G62
time :09/04/17 12:59:04  B74 is committed to G63
time :09/04/17 12:59:04  B81 is committed to G64
time :09/04/17 12:59:04  B57 is committed to G66
time :09/04/17 12:59:04  B76 is committed to G67
time :09/04/17 12:59:04  B63 is committed to G69
time :09/04/17 12:59:04  B45 is committed to G70
time :09/04/17 12:59:04  B53 is committed to G71
time :09/04/17 12:59:04  B85 is committed to G72
time :09/04/17 12:59:04  B88 is committed to G73
time :09/04/17 12:59:04  B69 is committed to G74
time :09/04/17 12:59:04  B62 is committed to G75
time :09/04/17 12:59:04  B64 is committed to G76
time :09/04/17 12:59:04  B65 is committed to G77
time :09/04/17 12:59:04  B93 is committed to G78
time :09/04/17 12:59:04  B95 is committed to G79
time :09/04/17 12:59:04  B99 is committed to G80
time :09/04/17 12:59:04  B72 is committed to G83
time :09/04/17 12:59:04  B75 is committed to G84
time :09/04/17 12:59:04  B83 is committed to G87
time :09/04/17 12:59:04  B78 is committed to G89
time :09/04/17 12:59:04  B79 is committed to G90
time :09/04/17 12:59:04  B66 is committed to G92
time :09/04/17 12:59:04  B87 is committed to G94
time :09/04/17 12:59:04  B90 is committed to G96
time :09/04/17 12:59:04  B86 is committed to G99
